id,nev,szekhelyid,adoszam,email,telefon
65,Hajas Zoltán,1752,50190467-1-42,Hajas.Zoltán@email.hu,+36530402358
66,Pap Panka,606,85851661-1-25,Pap.Panka@email.hu,+36648008611
67,Vincze Laura,2040,15951396-2-10,Vincze.Laura@email.hu,+36295543387
68,Vass Vivien,2855,40334118-2-41,Vass.Vivien@email.hu,+36519731080
69,Jónás Elizabet,2205,99639437-1-10,Jónás.Elizabet@email.hu,+36205479744
70,Fodor Viktória,2719,39373673-1-42,Fodor.Viktória@email.hu,+36476986172
71,Hegedüs Brendon,1386,52063758-2-05,Hegedüs.Brendon@email.hu,+36597984911
72,Dudás István,2522,51110649-2-05,Dudás.István@email.hu,+36929213286
73,Fehér Fanni,1840,50638266-2-07,Fehér.Fanni@email.hu,+36564082739
74,Lukács Vivien,562,51718838-1-07,Lukács.Vivien@email.hu,+36718356099
75,Pap Nikolasz,1491,65873561-1-42,Pap.Nikolasz@email.hu,+36830529798
76,Faragó Fruzsina,1689,65916050-2-05,Faragó.Fruzsina@email.hu,+36483982831
77,Boros Zente,1469,22663756-1-42,Boros.Zente@email.hu,+36319842116
78,Somogyi Lili,1495,73483139-1-03,Somogyi.Lili@email.hu,+36370087352
79,Székely Emília,1253,78745016-1-42,Székely.Emília@email.hu,+36684863199
80,Molnár Tamás,1971,43269955-1-03,Molnár.Tamás@email.hu,+36773697315
81,Takács Brájen,123,14903932-2-07,Takács.Brájen@email.hu,+36802490644
82,Katona Soma,1804,71082685-1-41,Katona.Soma@email.hu,+36948782821
83,Szilágyi Rebeka,2408,17235431-2-15,Szilágyi.Rebeka@email.hu,+36506835149
84,Major Kiara,858,44925965-2-35,Major.Kiara@email.hu,+36744243186
85,Borbély Enikő,2389,16202854-1-30,Borbély.Enikő@email.hu,+36871159956
86,Simon Anna,1432,10660264-2-25,Simon.Anna@email.hu,+36186233689
87,Szücs Adrián,277,79020697-2-07,Szücs.Adrián@email.hu,+36669167327
88,Török Nándor,2408,10119991-2-42,Török.Nándor@email.hu,+36973203794
89,Rácz Borbála,2120,35913403-2-15,Rácz.Borbála@email.hu,+36827583715
90,Kocsis Kende,1020,77644922-2-25,Kocsis.Kende@email.hu,+36301740896
91,Boros Marcell,1410,48600527-2-03,Boros.Marcell@email.hu,+36602164562
92,Váradi Szonja,1985,25257184-1-05,Váradi.Szonja@email.hu,+36975828166
93,Bakos Dóra,457,82065320-1-42,Bakos.Dóra@email.hu,+36905003757
94,Somogyi Benjámin,2181,77800486-1-42,Somogyi.Benjámin@email.hu,+36517389299
95,Fodor Adél,1023,51573496-2-10,Fodor.Adél@email.hu,+36679105530
96,Barna Áron,685,15104754-1-07,Barna.Áron@email.hu,+36216064263
97,Kelemen Enikő,1337,12680906-1-03,Kelemen.Enikő@email.hu,+36726151038
98,Gál Zénó,947,57701187-1-42,Gál.Zénó@email.hu,+36969606630
99,Balog Kiara,2116,40718861-1-03,Balog.Kiara@email.hu,+36214757642
100,Pataki Szebasztián,2984,91615813-1-05,Pataki.Szebasztián@email.hu,+36281108003
101,Virág Zalán,2835,20162570-2-30,Virág.Zalán@email.hu,+36841591753
102,Varga Mirella,1791,22689181-1-03,Varga.Mirella@email.hu,+36355376779
103,Balogh Luca,2597,22877907-1-25,Balogh.Luca@email.hu,+36909401241
104,Fülöp Zoé,1717,78362367-2-35,Fülöp.Zoé@email.hu,+36277195385
105,Török György,1517,25538954-1-05,Török.György@email.hu,+36426093300
106,Jónás Amira,1551,18026489-1-41,Jónás.Amira@email.hu,+36612011710
107,Somogyi Szilárd,1960,24578816-2-25,Somogyi.Szilárd@email.hu,+36622315866
108,Barna Gábor,1105,80002189-1-07,Barna.Gábor@email.hu,+36184872300
109,Dudás Péter,155,45376031-1-07,Dudás.Péter@email.hu,+36414074118
110,Deák Tamás,1762,52325721-1-15,Deák.Tamás@email.hu,+36654113524
111,Szücs Áron,704,43801063-1-05,Szücs.Áron@email.hu,+36310767776
112,Szűcs Imre,2321,91408767-2-07,Szűcs.Imre@email.hu,+36884434327
113,Varga Vivien,1233,64158181-2-15,Varga.Vivien@email.hu,+36940843509
114,Balogh Bíborka,978,96589156-1-25,Balogh.Bíborka@email.hu,+36375459512
115,Gál Veronika,2502,27549222-2-03,Gál.Veronika@email.hu,+36407658912
116,Faragó Dorottya,287,66665986-2-10,Faragó.Dorottya@email.hu,+36602277919
117,Tamás István,1765,90446459-2-03,Tamás.István@email.hu,+36675661272
118,Lengyel Kitti,1931,32014680-2-05,Lengyel.Kitti@email.hu,+36612124841
119,Farkas Róbert,2876,34558401-1-25,Farkas.Róbert@email.hu,+36924993409
120,Bodnár Szebasztián,2624,99764709-1-42,Bodnár.Szebasztián@email.hu,+36359593028
121,Illés Adrián,2633,67065470-1-41,Illés.Adrián@email.hu,+36894265642
122,Varga Péter,1936,66065911-1-35,Varga.Péter@email.hu,+36237763950
123,Mészáros Adél,40,64655221-1-07,Mészáros.Adél@email.hu,+36607571723
124,Simon Martin,490,82229020-2-10,Simon.Martin@email.hu,+36819163206
125,Bálint Bertalan,614,51007652-2-10,Bálint.Bertalan@email.hu,+36790245968
126,Molnár Csanád,1705,87041081-2-25,Molnár.Csanád@email.hu,+36537581103
127,Székely Zénó,1369,29279835-2-03,Székely.Zénó@email.hu,+36939633886
128,Boros Benett,1963,33072286-2-30,Boros.Benett@email.hu,+36962117799
129,Pásztor Borbála,1843,60379848-2-15,Pásztor.Borbála@email.hu,+36954674927
130,Kelemen Benedek,110,21003314-1-15,Kelemen.Benedek@email.hu,+36629889894
131,Simon Liliána,2655,23469651-2-35,Simon.Liliána@email.hu,+36673256151
132,Kerekes Olívia,2826,25197076-2-25,Kerekes.Olívia@email.hu,+36265659844
133,Dudás Flórián,1682,92998784-2-25,Dudás.Flórián@email.hu,+36170754069
134,Deák Benedek,574,47363708-1-15,Deák.Benedek@email.hu,+36419179555
135,Péter Linett,1440,83341891-2-07,Péter.Linett@email.hu,+36847529921
136,Dudás Kolos,636,52449256-2-35,Dudás.Kolos@email.hu,+36462538224
137,Horváth Izabella,1511,18439285-2-42,Horváth.Izabella@email.hu,+36954805938
138,Jakab Levente,2995,89107570-1-07,Jakab.Levente@email.hu,+36245064123
139,Szalai Zente,1644,79621517-2-30,Szalai.Zente@email.hu,+36333574245
140,Barta Virág,143,58410871-1-10,Barta.Virág@email.hu,+36274572605
141,Katona Diána,1776,46315954-2-25,Katona.Diána@email.hu,+36479342181
142,Pap Milán,1476,59253015-2-41,Pap.Milán@email.hu,+36499719385
143,Lakatos Marcell,1558,24978466-2-35,Lakatos.Marcell@email.hu,+36574554035
144,Magyar Maja,2662,43822188-2-25,Magyar.Maja@email.hu,+36188894550
145,Fodor András,2620,94078365-2-42,Fodor.András@email.hu,+36906397478
146,Balla Dénes,1393,17426266-1-30,Balla.Dénes@email.hu,+36633154593
147,Oláh Diána,57,21333509-2-03,Oláh.Diána@email.hu,+36950409015
148,Bogdán Kolos,1784,45710670-1-15,Bogdán.Kolos@email.hu,+36544968605
149,Mezei Vince,1982,20485772-1-30,Mezei.Vince@email.hu,+36125154746
150,Takács Léna,40,45142017-1-25,Takács.Léna@email.hu,+36992251969
151,Szücs Natasa,1224,74892800-2-35,Szücs.Natasa@email.hu,+36455827349
152,Fülöp Szonja,1710,40900732-1-30,Fülöp.Szonja@email.hu,+36129450556
153,Pataki Zara,374,83377292-1-42,Pataki.Zara@email.hu,+36960037580
154,Váradi Richárd,1796,91188657-1-15,Váradi.Richárd@email.hu,+36770588971
155,Tóth Kiara,2654,84784850-2-30,Tóth.Kiara@email.hu,+36302266719
156,Orosz Lotti,205,14331165-2-15,Orosz.Lotti@email.hu,+36619252161
157,Vass Kitti,1056,18268467-1-10,Vass.Kitti@email.hu,+36663229414
158,Vörös Márton,1412,90883391-1-35,Vörös.Márton@email.hu,+36105662393
159,Bognár Kincső,408,87589221-1-05,Bognár.Kincső@email.hu,+36402373775
160,Tamás Lotti,2116,88732378-1-30,Tamás.Lotti@email.hu,+36803936555
161,Hajdu Ákos,2485,48981160-2-10,Hajdu.Ákos@email.hu,+36587802182
162,Bakos Martin,2300,51741037-1-15,Bakos.Martin@email.hu,+36575622425
163,Dudás Zoltán,1566,79856848-2-10,Dudás.Zoltán@email.hu,+36145621731
164,Kiss Bella,2348,84607222-1-10,Kiss.Bella@email.hu,+36699608582
165,Takács Vince,1411,89090576-2-07,Takács.Vince@email.hu,+36896281731
166,Somogyi Martin,182,78838494-1-05,Somogyi.Martin@email.hu,+36960532290
167,Fekete Zselyke,2942,58644490-1-07,Fekete.Zselyke@email.hu,+36729104617
168,Fekete Vilmos,2964,77028979-2-25,Fekete.Vilmos@email.hu,+36537088313
169,Soós Zita,1841,73481771-2-41,Soós.Zita@email.hu,+36443353949
170,Rácz Ferenc,1171,35334471-1-25,Rácz.Ferenc@email.hu,+36860545046
171,Pál Márton,1080,18461207-1-35,Pál.Márton@email.hu,+36562896339
172,Rácz Kata,1074,61573396-2-10,Rácz.Kata@email.hu,+36446021508
173,Farkas Zsófia,2590,12627669-1-41,Farkas.Zsófia@email.hu,+36293974954
174,Tamás Zsombor,2038,36382036-2-35,Tamás.Zsombor@email.hu,+36665845163
175,Kovács Brendon,152,23683262-1-42,Kovács.Brendon@email.hu,+36795675205
176,Kozma Barnabás,462,68046961-2-41,Kozma.Barnabás@email.hu,+36409970616
177,Szőke Emili,2682,11321952-1-25,Szőke.Emili@email.hu,+36578634273
178,Vincze Boróka,2681,81067540-2-07,Vincze.Boróka@email.hu,+36434101533
179,Bálint Linett,174,48385161-2-35,Bálint.Linett@email.hu,+36828190086
180,Jakab Szonja,1525,93815892-2-25,Jakab.Szonja@email.hu,+36172515735
181,Vass Brendon,953,35942079-1-10,Vass.Brendon@email.hu,+36502596446
182,Kiss Blanka,1890,43803671-2-15,Kiss.Blanka@email.hu,+36410089641
183,Fekete Vivien,2285,72821020-2-25,Fekete.Vivien@email.hu,+36852387412
184,Király Zoltán,1108,75472337-2-15,Király.Zoltán@email.hu,+36877847316
185,Somogyi János,1190,96345020-2-05,Somogyi.János@email.hu,+36189486903
186,László Abigél,250,42803426-2-30,László.Abigél@email.hu,+36559229954
187,Gáspár Lili,1757,92054289-2-05,Gáspár.Lili@email.hu,+36221046622
188,Varga Botond,2190,62044632-1-30,Varga.Botond@email.hu,+36315589456
189,Orsós Zalán,223,22813365-2-10,Orsós.Zalán@email.hu,+36132337195
190,Oláh Zorka,540,39245233-1-10,Oláh.Zorka@email.hu,+36243702118
191,Balla Nándor,1883,94415296-1-05,Balla.Nándor@email.hu,+36714733168
192,Takács Róbert,2403,77790399-2-05,Takács.Róbert@email.hu,+36864567904
193,Antal Enikő,1892,61752855-1-41,Antal.Enikő@email.hu,+36758114706
194,Oláh Szabolcs,1832,51123645-2-07,Oláh.Szabolcs@email.hu,+36445062048
195,Szekeres Réka,2961,69664217-1-25,Szekeres.Réka@email.hu,+36602194781
196,Lukács Zoé,1780,54809424-2-05,Lukács.Zoé@email.hu,+36819144114
197,Orosz Panna,2214,39630673-1-35,Orosz.Panna@email.hu,+36369522013
198,Hegedüs Dániel,1513,90605749-2-05,Hegedüs.Dániel@email.hu,+36790369811
199,Barta Gábor,556,14966118-1-41,Barta.Gábor@email.hu,+36208037177
200,Vincze Eliza,1743,75474378-2-35,Vincze.Eliza@email.hu,+36861289546
201,Sándor Flóra,755,19016283-1-05,Sándor.Flóra@email.hu,+36819474334
202,Szücs Soma,2396,94539035-1-03,Szücs.Soma@email.hu,+36428745062
203,Kocsis Boldizsár,2246,32463405-2-41,Kocsis.Boldizsár@email.hu,+36117039015
204,Fülöp Blanka,116,45385806-1-30,Fülöp.Blanka@email.hu,+36180034057
205,Balázs Alex,1264,86915315-1-10,Balázs.Alex@email.hu,+36444779989
206,Balázs Nóra,2454,73553910-1-07,Balázs.Nóra@email.hu,+36925230199
207,Mészáros Ádám,1424,88507569-1-10,Mészáros.Ádám@email.hu,+36750899960
208,Székely Vivien,640,17229764-2-07,Székely.Vivien@email.hu,+36309616776
209,Fekete Olívia,949,37739903-1-41,Fekete.Olívia@email.hu,+36890338124
210,Mezei Léna,1496,76972395-1-10,Mezei.Léna@email.hu,+36807720461
211,Illés Rebeka,2825,63243719-1-42,Illés.Rebeka@email.hu,+36956042246
212,Major Kincső,679,87435432-2-30,Major.Kincső@email.hu,+36244552240
213,Bakos Gergő,543,12732737-2-25,Bakos.Gergő@email.hu,+36192896665
214,Szekeres Vanda,1187,54007836-2-05,Szekeres.Vanda@email.hu,+36245282399
215,Csonka Roland,468,23024806-1-42,Csonka.Roland@email.hu,+36316764469
216,Király János,2899,65411995-1-15,Király.János@email.hu,+36193136900
217,Fodor Tibor,2319,39154523-2-42,Fodor.Tibor@email.hu,+36638659371
218,Lakatos Lia,2762,64619017-2-35,Lakatos.Lia@email.hu,+36183198773
219,Orsós Kende,463,48496709-2-05,Orsós.Kende@email.hu,+36525546038
220,Fazekas Róbert,466,16521657-1-15,Fazekas.Róbert@email.hu,+36352476137
221,Kelemen Lajos,729,47018711-2-41,Kelemen.Lajos@email.hu,+36754910027
222,Nemes Donát,57,56834363-1-41,Nemes.Donát@email.hu,+36428939520
223,Vörös András,2045,24450121-1-35,Vörös.András@email.hu,+36420175477
224,Bogdán Mirella,606,94471044-2-10,Bogdán.Mirella@email.hu,+36215076190
225,Kovács Fruzsina,1592,91153680-1-42,Kovács.Fruzsina@email.hu,+36161236237
226,Szilágyi Bianka,981,90905313-1-10,Szilágyi.Bianka@email.hu,+36613752794
227,Bogdán Linett,1486,60055047-1-03,Bogdán.Linett@email.hu,+36603331160
228,Bognár Milán,63,21738530-1-42,Bognár.Milán@email.hu,+36764337264
229,Vörös Ferenc,1381,26952325-1-35,Vörös.Ferenc@email.hu,+36979074739
230,László Vivien,676,29108345-2-35,László.Vivien@email.hu,+36891955449
231,Csonka Richárd,553,88650794-2-30,Csonka.Richárd@email.hu,+36955872961
232,Veres Noémi,474,70950708-2-42,Veres.Noémi@email.hu,+36703688820
233,Sipos Nóra,1430,36335929-1-05,Sipos.Nóra@email.hu,+36241488715
234,Bakos Zita,735,33145289-1-25,Bakos.Zita@email.hu,+36882324898
235,Hajdu Bíborka,75,45034116-2-41,Hajdu.Bíborka@email.hu,+36268465759
236,Bognár Diána,861,91637549-2-25,Bognár.Diána@email.hu,+36989275742
237,Somogyi Alex,1948,71574773-1-41,Somogyi.Alex@email.hu,+36308474985
238,Katona Kamilla,1474,87669720-1-35,Katona.Kamilla@email.hu,+36687777714
239,Soós Júlia,2148,48791528-2-10,Soós.Júlia@email.hu,+36448491687
240,Mezei Mirkó,1041,83025616-2-25,Mezei.Mirkó@email.hu,+36179681062
241,Péter Lili,1130,14530364-2-41,Péter.Lili@email.hu,+36723754352
242,Székely Lilien,422,45059032-1-07,Székely.Lilien@email.hu,+36826854204
243,Deák Alex,546,84539236-1-10,Deák.Alex@email.hu,+36340675690
244,Szabó Vencel,1031,96075475-2-25,Szabó.Vencel@email.hu,+36240041092
245,Orsós Kitti,19,36236020-1-15,Orsós.Kitti@email.hu,+36203084230
246,Hegedüs Alex,509,67214370-2-41,Hegedüs.Alex@email.hu,+36485605287
247,Molnár Rozina,1165,35292169-2-05,Molnár.Rozina@email.hu,+36687095597
248,Gál Blanka,9,67979525-2-15,Gál.Blanka@email.hu,+36528256666
249,Faragó Boróka,669,88333345-2-05,Faragó.Boróka@email.hu,+36143721939
250,Fodor Sándor,2365,64486728-1-30,Fodor.Sándor@email.hu,+36424482240
251,Gáspár Bence,1764,75889407-1-10,Gáspár.Bence@email.hu,+36195909102
252,Balogh Panna,1755,35246163-1-41,Balogh.Panna@email.hu,+36201747599
253,Szűcs Gellért,355,12343547-1-25,Szűcs.Gellért@email.hu,+36280248132
254,Szilágyi Szófia,2394,58678967-1-05,Szilágyi.Szófia@email.hu,+36770985398
255,Major Attila,319,88690173-1-35,Major.Attila@email.hu,+36121803879
256,Kocsis Levente,2,22416426-2-30,Kocsis.Levente@email.hu,+36405959173
257,Bakos Vanda,2655,40323421-1-42,Bakos.Vanda@email.hu,+36923993943
258,Pap Brendon,945,88226866-1-10,Pap.Brendon@email.hu,+36817387183
259,Balázs Eliza,828,14466632-1-03,Balázs.Eliza@email.hu,+36934222178
260,Gáspár Szabolcs,2587,56244508-1-25,Gáspár.Szabolcs@email.hu,+36746451553
261,Vincze Anna,272,73733369-1-35,Vincze.Anna@email.hu,+36337323399
262,Fehér Hanga,666,37003546-1-03,Fehér.Hanga@email.hu,+36901987054
263,Virág János,1563,50511945-2-03,Virág.János@email.hu,+36245966395
264,Vincze Mirella,2576,68866064-2-05,Vincze.Mirella@email.hu,+36913807033
265,Máté Tamás,248,48556107-2-25,Máté.Tamás@email.hu,+36767271859
266,Major Barbara,1656,52527517-2-25,Major.Barbara@email.hu,+36267777785
267,Szilágyi István,1553,21334010-1-07,Szilágyi.István@email.hu,+36918487883
268,Jónás Ádám,2112,39821954-1-41,Jónás.Ádám@email.hu,+36225996126
269,Márton Johanna,417,69208226-1-30,Márton.Johanna@email.hu,+36892240998
270,Varga Gábor,1911,81621762-2-42,Varga.Gábor@email.hu,+36242913085
271,Illés Borbála,257,54071729-1-42,Illés.Borbála@email.hu,+36800086273
272,Vörös Zénó,150,11719309-2-07,Vörös.Zénó@email.hu,+36866306015
273,Kovács Hédi,2918,76061995-1-30,Kovács.Hédi@email.hu,+36650131444
274,Szabó Panna,1726,25705599-1-05,Szabó.Panna@email.hu,+36361289335
275,Fehér Boglárka,1639,62225800-2-42,Fehér.Boglárka@email.hu,+36544146143
276,Boros Dóra,2611,62194185-2-42,Boros.Dóra@email.hu,+36843480181
277,Horváth Dávid,1815,32529634-2-03,Horváth.Dávid@email.hu,+36103688189
278,Magyar Flóra,319,78609152-2-35,Magyar.Flóra@email.hu,+36195558744
279,Novák Adél,2891,28469531-2-42,Novák.Adél@email.hu,+36927416317
280,Faragó Donát,388,84173816-1-41,Faragó.Donát@email.hu,+36591055308
281,Tamás Jázmin,2120,25847652-2-07,Tamás.Jázmin@email.hu,+36842081554
282,Balla Kincső,782,52310028-2-42,Balla.Kincső@email.hu,+36990498851
283,Kelemen Zara,1698,83639690-2-35,Kelemen.Zara@email.hu,+36636039684
284,Kiss Linett,1319,22700103-2-30,Kiss.Linett@email.hu,+36570016858
285,Lukács Rikárdó,1216,13453444-2-05,Lukács.Rikárdó@email.hu,+36711470706
286,Pál Gergely,1101,23639139-2-10,Pál.Gergely@email.hu,+36769549720
287,Márton Levente,2423,28841668-2-42,Márton.Levente@email.hu,+36438865047
288,Barna Dorka,1340,37891468-1-41,Barna.Dorka@email.hu,+36385927675
289,Halász Gréta,2720,94689622-2-10,Halász.Gréta@email.hu,+36775945378
290,Lakatos Kamilla,2376,82852196-1-35,Lakatos.Kamilla@email.hu,+36777930943
291,Pál Szofia,510,21548635-2-07,Pál.Szofia@email.hu,+36980706157
292,Vörös Réka,308,43582413-1-10,Vörös.Réka@email.hu,+36406512160
293,Nemes Eliza,2950,43437595-1-07,Nemes.Eliza@email.hu,+36668979894
294,Virág Ábel,1865,52781526-2-30,Virág.Ábel@email.hu,+36617464492
295,Oláh Natália,73,69526752-1-10,Oláh.Natália@email.hu,+36757782021
296,Boros Laura,2768,37761324-2-10,Boros.Laura@email.hu,+36737191655
297,Szőke Zente,1163,54781593-2-35,Szőke.Zente@email.hu,+36596312168
298,Kozma Kornél,273,75907678-2-07,Kozma.Kornél@email.hu,+36342293014
299,Szabó Áron,87,17753875-1-25,Szabó.Áron@email.hu,+36388193591
300,Török Dorottya,666,43943009-1-15,Török.Dorottya@email.hu,+36850730803
301,Lukács Norina,1260,16114867-1-15,Lukács.Norina@email.hu,+36482541762
302,Molnár Júlia,1357,55704721-2-30,Molnár.Júlia@email.hu,+36476523830
303,Mezei Rebeka,1896,59005805-1-10,Mezei.Rebeka@email.hu,+36551440026
304,Bálint Nóra,1062,66946089-1-10,Bálint.Nóra@email.hu,+36816233212
305,Bogdán Zsolt,1414,70649506-2-03,Bogdán.Zsolt@email.hu,+36539820325
306,Barna Krisztofer,918,34404605-2-30,Barna.Krisztofer@email.hu,+36245027444
307,Orbán Zselyke,1141,19418674-1-35,Orbán.Zselyke@email.hu,+36467040513
308,Szekeres Lili,932,46872454-2-42,Szekeres.Lili@email.hu,+36834383156
309,Hajdu Kitti,60,56687673-1-03,Hajdu.Kitti@email.hu,+36242263614
310,Németh Nolen,12,86730494-1-42,Németh.Nolen@email.hu,+36193748056
311,Csonka Natália,491,50121298-2-42,Csonka.Natália@email.hu,+36317695343
312,Oláh István,1640,21948775-1-05,Oláh.István@email.hu,+36743859558
313,Fazekas Boglárka,357,29991842-2-35,Fazekas.Boglárka@email.hu,+36805395224
314,Kiss István,2744,80527321-1-35,Kiss.István@email.hu,+36358591229
315,Illés Dóra,2771,90631363-1-41,Illés.Dóra@email.hu,+36819794356
316,Biró Krisztofer,1795,81657848-2-42,Biró.Krisztofer@email.hu,+36262248905
317,Antal Zselyke,1272,13598362-1-41,Antal.Zselyke@email.hu,+36281371729
318,Somogyi Martin,2547,88046348-1-05,Somogyi.Martin@email.hu,+36591373895
319,Kerekes András,665,25647128-1-25,Kerekes.András@email.hu,+36217760686
320,Novák Gréta,1451,85151475-1-35,Novák.Gréta@email.hu,+36913146497
321,Veres Dorka,1538,83920356-1-05,Veres.Dorka@email.hu,+36744337096
322,Balogh Viktor,2518,43677048-1-05,Balogh.Viktor@email.hu,+36547984567
323,Székely Zente,1696,95366838-1-03,Székely.Zente@email.hu,+36365475106
324,Deák Leila,345,46590536-1-15,Deák.Leila@email.hu,+36129734414
325,Simon Bendegúz,705,30307634-1-15,Simon.Bendegúz@email.hu,+36177631286
326,Szücs Noel,2253,70723822-1-30,Szücs.Noel@email.hu,+36408998472
327,Antal Csanád,2503,28516221-1-25,Antal.Csanád@email.hu,+36212750480
328,Balla Gyula,358,83514975-1-41,Balla.Gyula@email.hu,+36948091310
329,Bálint Amira,958,16413353-1-42,Bálint.Amira@email.hu,+36518931671
330,Orosz Bella,1175,84698982-2-30,Orosz.Bella@email.hu,+36722378846
331,Vincze Bálint,752,67647098-1-05,Vincze.Bálint@email.hu,+36262592372
332,Tóth Lilien,847,16856462-1-10,Tóth.Lilien@email.hu,+36676819533
